Job Title,Company,Location,Time Of Work,Job Description
CRM - Solutions Architect,Persistence Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Customer Service/Support · IT/Software Development · Sales/Retail · CRM · Sales · Sales Skills · Customer Service · Customer Support · Sales Target · Customer Care
Technical Consultant,Top Notch Consultancy -,"Doha, Qatar ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · SQL · Technical Support · Computer Engineering · C#
CRM Business Analyst,Top Notch Consultancy -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering
Senior Application Expert [Administration],Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · microsoft office · sql · javascript
"Manager, Corporate Performance",ADNOC (Abu Dhabi National Oil Company) -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · Business Development · Operations/Management · Sales/Retail · Sales · Sales Skills · Sales Target · Corporate Sales · Business Development · Microsoft Office · Customer Service
CIS Operations Specialist,OKX Ventures -,"Dubai, United Arab Emirates ",Full Time,Not specified · Customer Service/Support · Logistics/Supply Chain · Operations/Management · Operations · Customer Service · Logistics · Customer Support · Customer Care · Microsoft Office · Administration
Business Analyst,DX Republic -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Analysis · analytical · Business Analysis · Computer Engineering · Communication skills · Business Analyst · Computer Science
Operations Support Specialist,Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Customer Service/Support · IT/Software Development · Operations/Management · Customer Service · Customer Support · Information Technology (IT) · Customer Care · Computer Science · Technical Support · Operations
Odoo Developer,JRM for Communications -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Odoo · Python · Programming · Computer Science · CRM
.Net React Full-stack Developer,Premier Services and Recruitment -,"Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Full-Stack · React · Computer Science · developer · NET · JavaScript
